id,İL,İLÇE,date,startTime,endTime,reason,effectedSubscribers,hourlyLoadAvg,effectedNeighbourhoods,distributionCompanyName
2358811,izmir,Menderes,2021-05-08T00:00:00.000+0300,2021-05-08T17:40:00.000+0300,2021-05-08T18:07:00.000+0300,OG Fider Açması,9368,180,ORTA MH.,GDZ_EDAS
2355626,izmir,Aliağa,2021-05-08T00:00:00.000+0300,2021-05-08T23:32:00.000+0300,2021-05-08T23:36:00.000+0300,OG Fider Açması,2364,40,YENİŞAKRAN MH.,GDZ_EDAS
2359157,izmir,Kemalpaşa,2021-05-09T00:00:00.000+0300,2021-05-09T18:53:00.000+0300,2021-05-09T23:25:00.000+0300,Üçüncü Şahısların Vermiş Olduğu Hasarlar,392,23,ÇAMBEL MH.,GDZ_EDAS
2356508,izmir,Urla,2021-05-09T00:00:00.000+0300,2021-05-09T11:04:00.000+0300,2021-05-09T12:08:00.000+0300,Yangın,4781,97,BALIKLIOVA MH.,GDZ_EDAS
2358812,izmir,Foça,2021-05-09T00:00:00.000+0300,2021-05-09T10:52:00.000+0300,2021-05-09T15:44:00.000+0300,OG İzolatör Arızası,70,3,YENİBAĞARASI MH.,GDZ_EDAS
2356509,izmir,Bayındır,2021-05-09T00:00:00.000+0300,2021-05-09T19:32:00.000+0300,2021-05-09T20:55:00.000+0300,OG Fider Açması,430,9,ÇIRPI CAMİ MH.,GDZ_EDAS
2355627,izmir,Çeşme,2021-05-09T00:00:00.000+0300,2021-05-09T04:51:00.000+0300,2021-05-09T07:22:00.000+0300,OG İletken Kopması,700,18,ILDIR MH.,GDZ_EDAS
2368607,izmir,Kemalpaşa,2021-05-10T00:00:00.000+0300,2021-05-10T07:51:00.000+0300,2021-05-10T11:11:00.000+0300,OG Sigorta Atması,3133,53,KEMAL ATATÜRK MH.,GDZ_EDAS
2362487,izmir,Menderes,2021-05-10T00:00:00.000+0300,2021-05-10T14:52:00.000+0300,2021-05-10T18:26:00.000+0300,OG Sigorta Atması,203,2,ÇAMÖNÜ MH.,GDZ_EDAS
2356614,izmir,Seferihisar,2021-05-10T00:00:00.000+0300,2021-05-10T14:56:00.000+0300,2021-05-10T15:55:00.000+0300,AG Hatta Ağaç Kesimi,45,0,ATATÜRK MH.,GDZ_EDAS
2362850,izmir,Urla,2021-05-10T00:00:00.000+0300,2021-05-10T18:32:00.000+0300,2021-05-10T19:01:00.000+0300,OG Fider Açması,1418,30,ALTINTAŞ MH.,GDZ_EDAS
2362888,izmir,Bornova,2021-05-10T00:00:00.000+0300,2021-05-10T17:45:00.000+0300,2021-05-10T18:02:00.000+0300,OG Fider Açması,5594,176,EGEMENLİK MH.,GDZ_EDAS
2362849,izmir,Kınık,2021-05-10T00:00:00.000+0300,2021-05-10T14:25:00.000+0300,2021-05-10T15:02:00.000+0300,OG Fider Açması,1285,28,YAYAKENT MH.,GDZ_EDAS
2356615,izmir,Bergama,2021-05-10T00:00:00.000+0300,2021-05-10T09:51:00.000+0300,2021-05-10T18:51:00.000+0300,AG Yeraltı Kablo Arızası,7,0,ZEYTİNDAĞ MH.,GDZ_EDAS
2362484,izmir,Bergama,2021-05-10T00:00:00.000+0300,2021-05-10T08:59:00.000+0300,2021-05-10T09:54:00.000+0300,OG Fider Açması,61,6,YENİKENT MH.,GDZ_EDAS
