TABAN sicak MSE: {'yaz25': 0.59261, 'guz25': 0.54091, 'kis26': 0.52357}
TABAN sicak RMSLE: {'yaz25': np.float64(0.76981), 'guz25': np.float64(0.73547), 'kis26': np.float64(0.72358)}

aday                                        yaz25      guz25      kis26      GENEL   testdMSE  karar
--------------------------------------------------------------------------------------------------------
B1 saf cat                               +0.03790   +0.02715   +0.02839   +0.03065   +0.02385  RED(zararli)
B1 saf xgb                               +0.01397   +0.03822   +0.00971   +0.01961   +0.01526  RED(zararli)
B1 saf lgbm                              +0.03090   +0.03911   +0.01982   +0.02879   +0.02241  RED(zararli)
B1 saf sinir_agi                         +0.01434   +0.13869   +0.21600   +0.13643   +0.10619  RED(zararli)
B2 ag YOK (3/1/1/0)                      +0.01638   +0.00800   -0.00527   +0.00479   +0.00373  RED(ters isaret)
B2 ag 0,7 (3/1/1/0,7)                    +0.00609   +0.00103   -0.00529   -0.00020   -0.00015  RED(ters isaret)
B2 ag 2,1 (3/1/1/2,1)                    -0.00366   +0.00208   +0.00761   +0.00279   +0.00217  RED(ters isaret)
B2 ag 3,0 (3/1/1/3)                      -0.00627   +0.00691   +0.01855   +0.00811   +0.00631  RED(ters isaret)
B3 esit (1/1/1/1)                        -0.00392   +0.00457   +0.00083   +0.00066   +0.00051  RED(ters isaret)
B3 xgb agir (2/3/1/1,4)                  -0.00306   +0.00314   -0.00586   -0.00233   -0.00181  RED(ters isaret)
B3 cat agir (5/1/1/1,4)                  +0.00609   +0.00108   +0.00076   +0.00234   +0.00182  RED(zararli)
B3 (2/2/1/1,4)                           -0.00361   +0.00170   -0.00345   -0.00192   -0.00149  RED(ters isaret)
B3 (3/2/2/1,4)                           +0.00056   +0.00150   -0.00628   -0.00201   -0.00156  RED(ters isaret)
B4 ham uzayda harman                     +0.00626   +0.00163   +0.03653   +0.01746   +0.01359  RED(zararli)
B5 kirpma tabani 0.5 kWh                 +0.00395   -0.00373   +0.00124   +0.00047   +0.00037  RED(ters isaret)
B5 kirpma tabani 1.0 kWh                 +0.01460   -0.00453   +0.00725   +0.00569   +0.00443  RED(ters isaret)
B5 kirpma tabani 2.0 kWh                 +0.04138   +0.00013   +0.02850   +0.02339   +0.01821  RED(zararli)
B5 kirpma tabani 5.0 kWh                 +0.12736   +0.02620   +0.09889   +0.08456   +0.06582  RED(zararli)
B6 kirpma tavani 24x guc                 +0.00004   +0.00000   +0.00000   +0.00001   +0.00001  RED(ters isaret)
B6 kirpma tavani 18x guc                 +0.00028   +0.00003   +0.00012   +0.00013   +0.00010  RED(zararli)
B6 kirpma tavani 12x guc                 +0.00107   +0.00042   +0.00105   +0.00087   +0.00067  RED(zararli)
B7 tohum sayisi 1 (taban 3)              +0.02653   +0.01729   +0.00921   +0.01649   +0.01283  RED(zararli)
B7 tohum sayisi 2 (taban 3)              +0.00907   +0.00169   +0.00963   +0.00705   +0.00549  RED(zararli)

yazildi: C:\Users\Cem\Desktop\Datahon_Laptop\Grid-Up-Datathon---TasnifX\experiments\sicak_kaldirac\adaylar2.jsonl
